iter	Passed	Remaining
289	564	1381
290	566	1379
291	568	1377
292	571	1378
293	573	1376
294	575	1375
295	577	1373
296	579	1371
297	580	1367
298	583	1368
299	587	1371
300	589	1368
301	590	1364
302	591	1361
303	593	1358
304	594	1355
305	596	1352
306	597	1349
307	598	1345
308	601	1344
309	602	1341
310	603	1338
311	605	1334
312	606	1331
313	607	1327
314	608	1323
315	610	1321
316	611	1318
317	614	1318
318	616	1316
319	618	1313
320	619	1310
321	620	1307
322	622	1304
323	623	1301
324	625	1299
325	627	1297
326	631	1300
327	633	1297
328	634	1294
329	637	1293
330	639	1292
331	642	1293
332	646	1294
333	648	1292
334	650	1291
335	651	1287
336	653	1285
337	654	1282
338	657	1281
339	661	1283
340	663	1282
341	665	1280
342	667	1279
343	672	1283
344	678	1288
345	680	1286
346	682	1283
347	683	1280
348	684	1276
349	685	1273
350	686	1269
351	688	1266
352	692	1268
353	693	1266
354	695	1263
355	697	1262
356	700	1261
357	702	1259
358	704	1257
359	710	1263
360	713	1262
361	715	1260
362	716	1257
363	718	1254
364	723	1259
365	725	1256
366	726	1253
367	728	1251
368	730	1249
369	732	1246
370	733	1243
371	739	1247
372	740	1245
373	743	1244
374	745	1241
375	746	1239
376	748	1236
377	749	1233
378	751	1231
379	752	1228
380	754	1226
381	756	1223
382	757	1220
383	759	1217
384	760	1215
385	765	1217
386	767	1215
387	769	1213
388	770	1210
389	772	1208
390	774	1206
391	776	1203
392	780	1205
393	782	1203
394	783	1200
395	785	1197
396	786	1194
397	789	1193
398	790	1190
399	791	1187
400	795	1187
401	796	1184
402	797	1181
403	799	1179
404	800	1176
405	801	1173
406	803	1170
407	804	1167
408	805	1164
409	811	1168
410	814	1166
411	815	1164
412	818	1162
413	820	1161
414	825	1163
415	826	1160
416	828	1158
417	831	1157
418	833	1155
419	834	1152
420	838	1152
421	840	1151
422	842	1149
423	844	1147
424	845	1144
425	847	1141
426	848	1138
427	849	1135
428	851	1132
429	855	1133
430	856	1131
431	858	1128
432	861	1127
433	862	1125
434	864	1123
435	871	1127
436	874	1126
437	876	1124
438	877	1121
439	878	1118
440	879	1115
441	881	1112
442	882	1109
443	884	1107
444	885	1104
445	886	1101
446	887	1098
447	888	1095
448	889	1092
449	891	1089
450	892	1086
451	893	1083
452	894	1079
453	895	1076
454	896	1073
455	898	1072
456	900	1069
457	901	1066
458	902	1063
459	903	1060
460	904	1057
461	905	1054
462	906	1051
463	907	1048
464	908	1045
465	909	1042
466	910	1039
467	913	1038
468	914	1035
469	915	1032
470	916	1029
471	917	1026
472	919	1024
473	921	1022
474	922	1019
475	923	1016
476	924	1013
477	925	1010
478	927	1008
479	928	1006
480	929	1003
481	930	1000
482	931	997
483	933	994
484	934	991
485	935	989
486	936	986
487	937	983
488	938	980
489	939	977
490	940	974
491	942	973
492	943	970
493	944	967
494	946	965
495	947	962
496	948	959
497	949	956
498	950	954
499	951	951
500	952	948
501	953	945
502	954	943
503	955	940
504	957	938
505	958	935
506	959	933
507	960	930
508	962	927
509	963	925
510	964	922
511	965	920
512	967	917
513	968	915
514	969	912
515	971	911
516	972	908
517	973	906
518	974	903
519	975	900
520	976	898
521	978	895
522	979	893
523	980	890
524	981	887
525	982	885
526	983	882
527	984	880
528	986	878
529	988	876
530	989	873
531	990	871
532	991	868
533	992	865
534	993	863
535	994	860
536	995	858
537	996	855
538	997	852
539	998	850
540	999	848
541	1001	846
542	1002	843
543	1003	841
544	1005	839
545	1006	836
546	1007	834
547	1008	832
548	1010	829
549	1011	827
550	1012	824
551	1013	822
552	1014	820
553	1016	818
554	1017	815
555	1018	813
556	1019	810
557	1020	808
558	1022	806
559	1023	804
560	1024	802
561	1026	799
562	1026	797
563	1028	794
564	1030	793
565	1031	790
566	1032	788
567	1033	786
568	1034	783
569	1035	781
570	1036	778
571	1037	776
572	1038	774
573	1040	771
574	1041	769
575	1042	767
576	1043	764
577	1045	763
578	1046	760
579	1047	758
580	1048	756
581	1049	754
582	1050	751
583	1051	749
584	1053	747
585	1054	744
586	1055	742
587	1056	740
588	1057	737
589	1058	735
590	1060	734
591	1061	731
592	1062	729
593	1064	727
594	1065	725
595	1066	722
596	1067	720
597	1069	718
598	1070	716
599	1071	714
600	1073	712
601	1074	710
602	1076	708
603	1078	706
604	1079	704
605	1081	702
606	1082	700
607	1084	698
608	1085	697
609	1086	694
610	1088	693
611	1090	691
612	1091	689
613	1093	687
614	1094	685
615	1095	683
616	1097	681
617	1098	679
618	1100	677
619	1101	675
620	1103	673
621	1104	671
622	1106	669
623	1108	667
624	1109	665
625	1111	663
626	1112	661
627	1113	659
628	1114	657
629	1116	655
630	1117	653
631	1119	651
632	1120	649
633	1121	647
634	1123	645
635	1124	643
636	1125	641
637	1126	639
638	1127	636
639	1128	634
640	1129	632
641	1131	630
642	1132	628
643	1133	626
644	1134	624
645	1135	622
646	1136	620
647	1137	618
648	1138	615
649	1140	613
650	1141	611
651	1142	609
652	1143	607
653	1145	605
654	1146	604
655	1148	602
656	1149	599
657	1150	597
658	1151	595
659	1152	593
660	1155	592
661	1156	590
662	1157	588
663	1158	586
664	1159	584
665	1160	582
666	1161	580
667	1162	577
668	1163	575
669	1165	573
670	1166	571
671	1167	569
672	1169	568
673	1170	566
674	1171	564
675	1172	562
676	1173	560
677	1175	558
678	1176	556
679	1177	553
680	1178	552
681	1179	550
682	1181	548
683	1182	546
684	1183	544
685	1185	542
686	1186	540
687	1187	538
688	1189	536
689	1190	534
690	1191	532
691	1192	530
692	1193	528
693	1194	526
694	1195	524
695	1196	522
696	1199	521
697	1200	519
698	1201	517
699	1202	515
700	1203	513
701	1204	511
702	1205	509
703	1206	507
704	1207	505
705	1208	503
706	1210	501
707	1211	499
708	1213	498
709	1214	496
710	1215	494
711	1217	492
712	1218	490
713	1219	488
714	1220	486
715	1221	484
716	1222	482
717	1223	480
718	1224	478
719	1225	476
720	1228	475
721	1229	473
722	1230	471
723	1231	469
724	1233	467
725	1234	465
726	1235	463
727	1236	462
728	1238	460
729	1240	458
730	1242	457
731	1245	455
732	1246	454
733	1248	452
734	1249	450
735	1250	448
736	1251	446
737	1253	444
738	1254	442
739	1255	441
740	1258	440
741	1260	438
742	1261	436
743	1262	434
744	1263	432
745	1264	430
746	1265	428
747	1266	426
748	1268	424
749	1269	423
750	1270	421
751	1271	419
752	1273	417
753	1274	415
754	1275	414
755	1277	412
756	1278	410
757	1279	408
758	1281	406
759	1282	405
760	1283	403
761	1284	401
762	1285	399
763	1287	397
764	1288	395
765	1289	394
766	1291	392
767	1292	390
768	1293	388
769	1294	386
770	1295	384
771	1296	382
772	1297	381
773	1298	379
774	1299	377
775	1300	375
776	1302	373
777	1303	372
778	1304	370
779	1306	368
780	1307	366
781	1308	364
782	1309	362
783	1310	361
784	1311	359
785	1312	357
786	1313	355
787	1314	353
788	1315	351
789	1317	350
790	1318	348
791	1319	346
792	1320	344
793	1321	342
794	1322	341
795	1323	339
796	1324	337
797	1326	335
798	1327	333
799	1328	332
800	1329	330
801	1330	328
802	1331	326
803	1333	324
804	1334	323
805	1335	321
806	1336	319
807	1337	317
808	1338	315
809	1339	314
810	1340	312
811	1341	310
812	1342	308
813	1343	307
814	1345	305
815	1347	303
816	1348	302
817	1349	300
818	1350	298
819	1351	296
820	1352	294
821	1353	293
822	1354	291
823	1355	289
824	1357	287
825	1358	286
826	1359	284
827	1361	282
828	1362	281
829	1363	279
830	1364	277
831	1366	275
832	1368	274
833	1369	272
834	1370	270
835	1371	269
836	1372	267
837	1373	265
838	1375	263
839	1376	262
840	1377	260
841	1378	258
842	1379	256
843	1380	255
844	1381	253
845	1382	251
846	1383	249
847	1384	248
848	1386	246
849	1387	244
850	1388	243
851	1390	241
852	1391	239
853	1392	238
854	1394	236
855	1395	234
856	1396	232
857	1397	231
858	1398	229
859	1399	227
860	1400	226
861	1401	224
862	1403	222
863	1404	221
864	1405	219
865	1406	217
866	1407	215
867	1408	214
868	1410	212
869	1411	210
870	1412	209
871	1413	207
872	1414	205
873	1415	204
874	1416	202
875	1418	200
876	1420	199
877	1421	197
878	1422	195
879	1423	194
880	1424	192
881	1425	190
882	1426	189
883	1427	187
884	1428	185
885	1429	183
886	1430	182
887	1431	180
888	1434	179
889	1435	177
890	1436	175
891	1437	174
892	1439	172
893	1440	170
894	1441	169
895	1442	167
896	1443	165
897	1444	164
898	1445	162
899	1448	160
900	1449	159
901	1450	157
902	1451	155
903	1453	154
904	1454	152
905	1455	151
906	1456	149
907	1457	147
908	1459	146
909	1460	144
910	1463	142
911	1464	141
912	1465	139
913	1466	138
914	1468	136
915	1469	134
916	1470	133
917	1471	131
918	1472	129
919	1473	128
920	1474	126
921	1475	124
922	1478	123
923	1479	121
924	1480	120
925	1481	118
926	1482	116
927	1483	115
928	1484	113
929	1485	111
930	1486	110
931	1487	108
932	1488	106
933	1489	105
934	1491	103
935	1492	102
936	1493	100
937	1495	98
938	1496	97
939	1497	95
940	1498	93
941	1499	92
942	1500	90
943	1502	89
944	1503	87
945	1504	85
946	1507	84
947	1508	82
948	1509	81
949	1510	79
950	1512	77
951	1513	76
952	1515	74
953	1516	73
954	1517	71
955	1519	69
956	1520	68
957	1522	66
958	1523	65
959	1524	63
960	1526	61
961	1527	60
962	1528	58
963	1529	57
964	1530	55
965	1531	53
966	1532	52
967	1533	50
968	1535	49
969	1537	47
970	1539	45
971	1540	44
972	1542	42
973	1544	41
974	1545	39
975	1546	38
976	1547	36
977	1548	34
978	1549	33
979	1552	31
980	1553	30
981	1554	28
982	1555	26
983	1556	25
984	1557	23
985	1558	22
986	1559	20
987	1560	18
988	1561	17
989	1562	15
990	1563	14
991	1565	12
992	1566	11
993	1568	9
994	1569	7
995	1570	6
996	1571	4
997	1572	3
998	1573	1
999	1574	0
